,model,mse,rmse,mae,r2,mape,uses_scaled
Random Forest,"RandomForestRegressor(n_jobs=-1, random_state=42)",0.35189684605479854,0.5932089396281874,0.1463972054794491,0.9999586414634073,0.13014856385148188,False
Gradient Boosting,GradientBoostingRegressor(random_state=42),5.879096253765139,2.4246847741026336,1.6607849611393404,0.9993090281419983,1.4661287138952885,False
AdaBoost,"AdaBoostRegressor(n_estimators=100, random_state=42)",108.05144966744703,10.394779923954477,8.120977215303887,0.9873006823304386,8.420057178202017,False
Decision Tree,"DecisionTreeRegressor(max_depth=10, random_state=42)",2.1006508242819293,1.4493622129343406,0.5181456483759262,0.9997531099100244,0.5089441153557897,False
Linear Regression,LinearRegression(),180.362291323557,13.429902878411184,9.503178659718358,0.9788019685050289,6.975776773429118,True
Ridge Regression,Ridge(random_state=42),180.26791331394188,13.426388692196493,9.507689548977423,0.9788130607793928,6.984904067408832,True
KNN Regressor,KNeighborsRegressor(),101.42361829479451,10.070929365991725,6.459262465753424,0.9880796532403213,4.726149493280574,True
